Currency,Buying,Selling,Mean,Transaction Date,extracted_at,source_url
AED,690.7081,697.6152,694.1617,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
ATS,162.6271,164.2534,163.4403,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
AUD,1783.1289,1800.9601,1792.0445,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
BIF,0.8551,0.8637,0.8594,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
BWP,203.9891,206.029,205.0091,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
CAD,1858.7386,1877.326,1868.0323,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
CHF,3269.1383,3301.8297,3285.484,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
CNY,365.4823,369.1371,367.3097,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
CUC,105.7158,106.7729,106.2443,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
DKK,401.4459,405.4604,403.4531,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
DZD,19.4386,19.6329,19.5357,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
EUR,2997.9298,3027.9091,3012.9194,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
GBP,3479.9936,3514.7936,3497.3936,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
HKD,324.7422,327.9896,326.3659,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
INR,28.0612,28.3418,28.2015,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
IQD,1.936,1.9554,1.9457,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
IRR,0.0022,0.0022,0.0022,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
JPY,16.1913,16.3532,16.2723,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
KES,19.6528,19.8493,19.7511,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
KRW,1.7429,1.7604,1.7516,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
KWD,8305.0023,8388.0524,8346.5274,2026-02-05,2026-02-05 14:28:09.248299,https://www.bot.go.tz/ExchangeRate/excRates
